iter	Passed	Remaining
0	4	2064
1	6	1541
2	8	1380
3	11	1407
4	14	1389
5	16	1377
6	18	1310
7	20	1260
8	22	1222
9	24	1194
10	26	1181
11	28	1156
12	30	1152
13	32	1142
14	35	1133
15	36	1118
16	39	1108
17	41	1097
18	43	1092
19	44	1074
20	47	1077
21	49	1071
22	51	1059
23	52	1042
24	54	1040
25	56	1030
26	58	1032
27	62	1046
28	64	1041
29	67	1057
30	71	1076
31	83	1221
32	86	1224
33	89	1219
34	92	1222
35	97	1257
36	99	1247
37	103	1263
38	106	1261
39	109	1259
40	112	1263
41	115	1258
42	118	1256
43	121	1256
44	123	1250
45	125	1240
46	127	1229
47	129	1217
48	134	1234
49	138	1242
50	141	1244
51	143	1232
52	145	1223
53	147	1216
54	149	1212
55	152	1207
56	154	1197
57	156	1190
58	157	1180
59	160	1174
60	162	1169
61	164	1162
62	167	1160
63	169	1152
64	171	1145
65	173	1138
66	175	1132
67	177	1125
68	179	1122
69	181	1116
70	183	1109
71	185	1102
72	187	1098
73	190	1093
74	191	1085
75	193	1082
76	196	1079
77	199	1081
78	205	1092
79	207	1091
80	210	1086
81	211	1080
82	214	1076
83	216	1071
84	218	1065
85	219	1058
86	222	1055
87	224	1049
88	226	1045
89	228	1040
90	230	1037
91	233	1034
92	235	1029
93	237	1024
94	238	1018
95	241	1014
96	242	1008
97	245	1006
98	247	1003
99	249	999
100	251	993
101	253	989
102	255	985
103	257	981
104	259	976
105	261	973
106	264	970
107	266	966
108	268	962
109	270	960
110	273	957
111	275	954
112	277	951
113	280	949
114	281	943
115	283	940
116	285	934
117	287	930
118	289	926
119	291	922
120	293	919
121	295	916
122	298	913
123	301	912
124	304	912
125	306	911
126	309	909
127	312	908
128	314	905
129	316	901
130	318	896
131	320	894
132	322	890
133	324	887
134	326	882
135	328	878
136	329	873
137	331	869
138	333	865
139	335	861
140	336	857
141	339	855
142	341	851
143	343	850
144	346	847
145	348	844
146	350	841
147	352	837
148	353	833
149	355	829
150	357	825
151	358	821
152	360	817
153	362	813
154	363	809
155	365	804
156	367	801
157	368	797
158	370	794
159	371	790
160	373	787
161	375	782
162	377	779
163	378	775
164	379	771
165	381	767
166	383	763
167	384	760
168	386	757
169	388	754
170	390	751
171	391	747
172	393	743
173	394	739
174	396	735
175	398	732
176	399	729
177	401	725
178	402	722
179	404	719
180	406	715
181	407	712
182	409	708
183	410	705
184	412	701
185	413	698
186	415	695
187	417	692
188	419	689
189	420	686
190	422	683
191	424	680
192	425	677
193	427	673
194	428	670
195	430	668
196	433	666
197	434	663
198	436	660
199	438	658
200	440	655
201	442	652
202	444	649
203	445	646
204	447	644
205	449	641
206	451	638
207	452	635
208	454	632
209	456	629
210	457	626
211	458	623
212	460	620
213	462	618
214	464	615
215	466	612
216	467	609
217	469	607
218	471	604
219	472	601
220	474	598
221	476	596
222	477	593
223	480	591
224	481	589
225	483	586
226	485	584
227	487	582
228	489	579
229	492	577
230	494	575
231	496	573
232	498	571
233	500	568
234	501	566
235	503	563
236	505	560
237	506	558
238	508	555
239	510	552
240	511	550
241	513	547
242	515	545
243	516	542
244	518	539
245	519	536
246	521	533
247	523	531
248	525	529
249	526	526
250	528	523
251	529	521
252	531	518
253	532	516
254	534	513
255	536	510
256	537	508
257	539	505
258	540	503
259	542	501
260	544	498
261	546	496
262	547	493
263	549	490
264	550	488
265	552	485
266	553	483
267	555	481
268	557	478
269	559	476
270	561	474
271	562	471
272	564	469
273	566	467
274	568	464
275	570	462
276	572	460
277	574	458
278	575	455
279	576	453
280	578	451
281	580	448
282	581	446
283	583	443
284	585	441
285	586	439
286	588	436
287	590	434
288	591	432
289	593	429
290	595	427
291	596	425
292	598	422
293	600	420
294	602	418
295	604	416
296	605	414
297	607	411
298	609	409
299	611	407
300	613	405
301	614	402
302	616	400
303	618	398
304	619	396
305	620	393
306	622	391
307	624	389
308	626	387
309	627	384
310	629	382
311	631	380
312	633	378
313	634	375
314	636	373
315	638	371
316	640	369
317	642	367
318	643	365
319	645	362
320	646	360
321	648	358
322	649	356
323	651	353
324	653	351
325	654	349
326	656	347
327	658	345
328	659	342
329	661	340
330	662	338
331	664	336
332	665	333
333	667	331
334	669	329
335	671	327
336	672	325
337	674	323
338	675	321
339	677	318
340	679	316
341	681	315
342	684	313
343	686	311
344	688	309
345	690	307
346	692	305
347	694	303
348	695	301
349	697	298
350	699	296
351	701	294
352	703	292
353	704	290
354	706	288
355	707	286
356	709	284
357	710	281
358	712	279
359	713	277
360	715	275
361	717	273
362	718	271
363	720	269
364	722	267
365	723	265
366	725	262
367	727	260
368	728	258
369	731	256
370	732	254
371	734	252
372	736	250
373	738	248
374	739	246
375	741	244
376	742	242
377	744	240
378	746	238
379	748	236
380	749	234
381	751	232
382	753	230
383	754	228
384	756	225
385	758	223
386	759	221
387	761	219
388	763	217
389	764	215
390	766	213
391	768	211
392	769	209
393	771	207
394	772	205
395	774	203
396	776	201
397	777	199
398	779	197
399	781	195
400	783	193
401	784	191
402	786	189
403	788	187
404	790	185
405	791	183
406	793	181
407	795	179
408	797	177
409	799	175
410	801	173
411	802	171
412	804	169
413	806	167
414	808	165
415	810	163
416	812	161
417	814	159
418	816	157
419	818	155
420	821	154
421	824	152
422	826	150
423	828	148
424	829	146
425	831	144
426	833	142
427	834	140
428	836	138
429	838	136
430	840	134
431	842	132
432	843	130
433	845	128
434	847	126
435	848	124
436	850	122
437	851	120
438	853	118
439	855	116
440	857	114
441	858	112
442	860	110
443	862	108
444	864	106
445	865	104
446	867	102
447	868	100
448	870	98
449	872	96
450	873	94
451	875	92
452	877	91
453	878	89
454	880	87
455	881	85
456	883	83
457	885	81
458	887	79
459	888	77
460	890	75
461	891	73
462	893	71
463	895	69
464	896	67
465	898	65
466	900	63
467	902	61
468	903	59
469	905	57
470	907	55
471	909	53
472	911	52
473	912	50
474	914	48
475	915	46
476	917	44
477	919	42
478	921	40
479	922	38
480	924	36
481	926	34
482	927	32
483	929	30
484	930	28
485	932	26
486	934	24
487	935	23
488	938	21
489	939	19
490	941	17
491	942	15
492	944	13
493	945	11
494	947	9
495	948	7
496	950	5
497	952	3
498	953	1
499	955	0
